frame,time_s,detected,vis_min,phase,phase_pct,kick_side,kick_knee_angle,kick_hip_flexion,kick_ankle_angle,kick_hip_abduction,kick_elbow_angle,sup_knee_angle,sup_hip_flexion,sup_ankle_angle,sup_hip_abduction,sup_elbow_angle,trunk_lean_total,trunk_lean_sagittal,trunk_lean_frontal,pelvis_tilt_frontal,pelvis_rotation,shoulder_rotation,shoulder_hip_separation,pelvis_foreshorten_ratio,pelvis_tilt_conf,kick_leg_ext_ratio,sup_leg_ext_ratio,kick_ankle_reach_ap,kick_ankle_reach_ml,kick_ankle_height,kick_knee_height,sup_ankle_height,kick_wrist_height,sup_wrist_height,com_ap,com_ml,com_height,com_speed,com_vel_ap,com_vel_vert,com_over_base_ap,com_over_base_ml,com_base_dist,sup_ankle_speed,sup_foot_planted,kick_knee_angle_vel,kick_hip_flexion_vel,sup_knee_angle_vel,trunk_lean_sagittal_vel,pelvis_tilt_frontal_vel,kick_leg_ext_ratio_vel,kick_ankle_speed
40,1.33333,1,0.86384,extension,12.5,left,99.16163,86.78925,124.84604,-36.07628,82.15655,155.76385,13.64689,110.01497,-0.38759,79.46321,6.52431,-4.08464,-5.07882,-17.08102,-125.29237,-134.5702,-9.27783,0.8982,0.85061,0.68787,0.91508,0.95679,-0.16721,-0.68367,0.04012,-1.48169,0.1988,-0.23072,0.0921,-0.08896,0.30023,0.43707,-0.07353,0.33811,-0.06719,-0.06624,0.09435,2.35305,0,219.67224,261.11555,-75.30222,-45.1479,-100.7993,0.34903,7.92877
41,1.36667,1,0.92388,extension,25.0,left,110.35535,92.11168,128.17277,-32.37793,94.8872,156.60873,10.25618,102.31137,5.58075,84.55457,9.48661,-6.2853,-7.07699,-20.67565,-126.27673,-136.55179,-10.27507,0.89466,0.84607,0.68842,0.95087,1.10202,-0.19348,-0.4651,0.13444,-1.52911,0.16778,-0.18929,0.07888,-0.08989,0.30546,0.65514,-0.63492,0.07085,-0.05315,-0.21636,0.22279,4.04405,0,247.34598,141.18938,101.9382,-91.98794,-125.80024,-0.05142,7.05027
42,1.4,1,0.86709,extension,37.5,left,115.65136,96.20187,129.09855,-28.71945,111.04851,162.55973,6.18879,98.34362,12.19987,88.10391,13.14993,-10.21717,-8.18978,-25.4677,-126.93732,-139.64426,-12.70694,0.89917,0.85252,0.68444,0.98989,1.17506,-0.18761,-0.26803,0.23535,-1.59381,0.10093,-0.15443,0.04965,-0.07962,0.30488,1.04577,-1.02058,0.0488,-0.03817,-0.2917,0.29418,2.41826,0,115.10678,57.1279,120.24703,-134.24214,-128.47349,-0.133,5.61468
43,1.43333,1,0.78774,extension,50.0,left,118.02913,95.9202,129.83927,-21.85446,127.3177,164.6252,5.93,97.67662,14.70352,96.87094,17.87223,-15.23477,-9.12203,-29.24055,-125.81154,-139.24359,-13.43205,0.9315,0.89883,0.67956,0.97823,1.2271,-0.09706,-0.12568,0.30517,-1.58458,-0.02571,-0.1665,0.01085,-0.07502,0.30877,1.18747,-1.17169,0.07587,-0.03811,-0.32441,0.32664,2.43605,0,254.18305,-98.62506,23.82139,-154.17638,-83.73726,0.80837,5.77634
44,1.46667,1,0.53949,extension,62.5,left,132.5969,89.62687,134.01443,-12.64824,138.34273,164.14782,11.75478,95.25185,16.97166,98.50681,22.60244,-20.49559,-9.11914,-31.05018,-123.48283,-133.14381,-9.66098,0.92361,0.88723,0.73834,0.95939,1.36229,0.00478,0.00832,0.31905,-1.53334,-0.26889,-0.19179,-0.02857,-0.06749,0.31006,1.1737,-1.12578,-0.1365,-0.03708,-0.41658,0.41823,2.17744,0,521.58313,-257.19304,9.23129,-165.33811,-58.84341,2.62049,6.62804
45,1.5,1,0.51334,extension,75.0,left,152.80134,78.774,138.68377,-8.26389,140.80011,165.24062,18.19275,96.95458,18.293,88.53992,27.63605,-26.25731,-8.01462,-33.16344,-122.67254,-130.4379,-7.76536,0.92852,0.89432,0.85426,0.94826,1.55624,0.03587,0.13736,0.29137,-1.51446,-0.41505,-0.17104,-0.06435,-0.05474,0.29968,1.19409,-1.12353,-0.23655,-0.04464,-0.43386,0.43615,0.4708,1,464.77741,-313.76982,25.91931,-167.7004,-67.42278,2.78119,5.52476
46,1.53333,1,0.08592,extension,87.5,left,163.58206,68.70888,141.49045,-11.1423,139.48151,165.87577,23.19053,103.74764,18.81025,88.26177,32.66381,-31.67562,-7.16234,-35.54504,-123.04459,-138.1539,-15.10931,0.96841,0.95151,0.92375,0.93253,1.65804,-0.00426,0.22767,0.24807,-1.50869,-0.20293,-0.12792,-0.10344,-0.04598,0.29426,1.18302,-1.14968,-0.04895,-0.0557,-0.40835,0.41213,0.95439,0,145.10983,-232.31932,-32.87906,-139.09923,-49.96811,1.21867,2.70836
47,1.56667,1,0.03595,impact,0.0,left,162.47533,63.28605,142.14402,-14.59493,146.82052,163.04868,27.55046,108.22437,21.63148,93.51976,36.34042,-35.5306,-6.65533,-36.49465,-122.7899,-146.58287,-23.79297,0.98082,0.97055,0.9355,0.92946,1.66685,-0.05486,0.24811,0.22012,-1.47981,0.11445,-0.1108,-0.14088,-0.03688,0.29652,1.10022,-0.98351,-0.23941,-0.05234,-0.48472,0.48754,1.89489,0,12.59151,-189.35037,-59.06089,-109.50933,-11.37322,0.24416,1.1093
48,1.6,1,0.02474,impact,50.0,left,164.42149,56.08552,139.88982,-11.11869,147.56465,161.93838,32.05978,110.80527,21.71481,84.54165,39.48424,-38.97624,-5.34792,-36.30325,-122.69489,-148.62976,-25.93487,1.0,0.99923,0.94003,0.95182,1.68065,0.0,0.15752,0.18151,-1.49532,0.2044,-0.13642,-0.16897,-0.01737,0.27844,1.26648,-0.80323,-0.79676,-0.05292,-0.52394,0.5266,1.3032,0,16.67221,-233.62681,4.02093,-103.51527,10.23492,-0.27891,4.25048
49,1.63333,1,0.04855,retraction,0.0,left,163.58681,47.71092,134.73377,-8.40325,141.46556,163.31675,37.56213,116.63133,19.20171,79.97779,42.63674,-42.43161,-3.42388,-35.81232,-122.08948,-149.07677,-26.98729,1.0,0.99936,0.91691,0.97938,1.63954,0.04227,-0.0167,0.12351,-1.54633,0.19355,-0.15232,-0.19444,0.00112,0.24341,1.12278,-0.69149,-0.86299,-0.04998,-0.50885,0.5113,1.59591,0,-217.04644,-133.67073,-27.91607,-84.50312,6.89199,-1.39519,6.18537
50,1.66667,1,0.05183,retraction,25.0,left,149.95173,47.17414,127.90431,-21.49819,132.83228,160.07731,41.11337,119.32015,21.27393,90.77836,44.69837,-44.60978,-2.25348,-35.84378,-119.59458,-149.39862,-29.80404,1.0,0.99963,0.84701,0.98497,1.48203,-0.15162,-0.17055,0.09579,-1.50829,0.18471,-0.09013,-0.21511,-0.00445,0.2209,0.67173,-0.41553,-0.44059,-0.02994,-0.63732,0.63803,3.8683,0,-474.58152,124.19653,-148.48184,-42.7794,-10.30526,-1.59106,8.97191
51,1.7,1,0.02414,retraction,50.0,left,131.94804,55.99069,121.65157,-40.97863,108.00778,153.41796,40.4888,117.06217,24.47418,89.92144,45.31312,-45.28357,-1.30116,-36.49934,-118.23275,-148.4485,-30.21574,1.0,0.99948,0.81084,0.97614,1.31919,-0.39733,-0.26542,0.10065,-1.42292,0.13576,-0.00492,-0.22218,-0.01829,0.21419,0.12219,-0.05897,-0.06488,-0.04199,-0.78533,0.78646,1.91705,0,-438.09941,166.49403,-166.03811,2.56118,-0.13492,-0.97383,6.41565
52,1.73333,1,0.02212,retraction,75.0,left,120.7451,58.27374,117.57327,-45.83202,99.10494,149.0081,37.43807,119.14567,21.18434,81.17957,44.45142,-44.43904,0.84211,-35.85278,-120.00343,-148.93458,-28.93116,1.0,0.99946,0.78209,0.96073,1.21237,-0.43363,-0.34534,0.11128,-1.41475,0.12356,-0.01222,-0.21897,-0.01008,0.21676,0.32089,0.20977,0.16865,-0.08755,-0.74538,0.75051,2.35636,0,-361.52767,46.67974,-139.04779,46.45739,24.22595,-1.27469,4.01503
53,1.76667,1,0.03217,recovery,0.0,left,107.8462,59.10268,116.29197,-45.15605,121.79866,144.1481,32.85947,122.04383,14.31575,80.646,42.25963,-42.18642,2.04372,-34.88428,-120.97388,-147.86134,-26.88745,1.0,0.99978,0.72586,0.9376,1.09727,-0.36998,-0.41251,0.12692,-1.43312,0.04896,-0.10394,-0.20814,-0.00667,0.22542,0.58251,0.40199,0.22808,-0.10031,-0.64197,0.64976,2.43273,0,-404.77633,90.69865,-184.43218,67.00024,-7.18625,-1.78113,4.11822
54,1.8,1,0.12186,recovery,5.26,left,93.76001,64.32032,116.98028,-49.05501,135.44165,136.71262,27.54308,115.7046,8.86967,79.38392,39.97485,-39.97235,0.375,-36.33186,-119.31179,-142.25775,-22.94596,1.0,0.99985,0.66335,0.90134,0.97287,-0.33063,-0.43178,0.14323,-1.40911,-0.17083,-0.15659,-0.19227,-0.03377,0.23181,0.83645,0.41715,0.19003,-0.08389,-0.60904,0.61479,1.478,0,-340.04256,136.59394,-167.45458,59.17359,-31.92875,-1.59115,3.25751
55,1.83333,1,0.04876,recovery,10.53,left,85.17669,68.20894,118.99732,-50.99923,134.64941,132.98446,25.93162,112.14862,5.09368,77.02975,38.27845,-38.24151,-1.43481,-37.01286,-118.08009,-139.01703,-20.93694,1.0,0.99977,0.61978,0.87977,0.90579,-0.27012,-0.43616,0.15312,-1.39349,-0.25399,-0.13305,-0.18036,-0.05321,0.23797,0.45757,0.32029,0.27102,-0.07255,-0.58979,0.59423,1.48257,0,-181.00418,50.50013,-46.68452,57.72359,30.07564,-0.92507,2.94357
56,1.86667,1,0.11444,recovery,15.79,left,81.69307,67.68699,122.39109,-45.76729,121.63082,133.60032,27.93963,112.68567,1.74396,83.84571,36.15588,-36.12412,-1.31677,-34.32682,-118.90515,-138.76494,-19.8598,1.0,0.99986,0.60168,0.87979,0.89743,-0.15353,-0.47059,0.15962,-1.41267,-0.12731,-0.13143,-0.17078,-0.04576,0.24972,0.57079,0.37971,0.36861,-0.05375,-0.51574,0.51854,2.49824,0,-101.38865,-23.84345,48.70545,70.36244,71.38033,-0.58563,4.17605
57,1.9,1,0.20733,recovery,21.05,left,78.41745,66.61938,123.17485,-36.78083,111.81794,136.2315,28.42779,108.76762,-0.70757,88.18793,33.57732,-33.55068,-1.18599,-32.25417,-120.45645,-136.31744,-15.86099,1.0,0.99984,0.58074,0.86999,0.87725,0.00102,-0.49374,0.16673,-1.42619,-0.05185,-0.15431,-0.15489,-0.03873,0.26233,0.6462,0.52401,0.3484,-0.03283,-0.39535,0.39671,2.55221,0,-114.29232,-9.03956,113.25452,75.17097,29.70928,-0.95057,4.08986
58,1.93333,1,0.33726,recovery,26.32,left,74.07358,67.08436,120.80874,-30.26145,97.73341,141.15062,26.21785,107.77006,-0.61666,81.46365,31.14567,-31.11272,-1.29272,-32.3462,-122.0638,-133.80612,-11.74233,0.99956,0.99865,0.53831,0.85089,0.80234,0.10216,-0.47676,0.17178,-1.41622,-0.06406,-0.11691,-0.13565,-0.03567,0.2729,0.59944,0.5099,0.2633,-0.0305,-0.30489,0.30641,1.41271,0,-134.36095,20.56485,118.09899,74.63159,9.4622,-1.29378,2.99796
59,1.96667,1,0.35159,recovery,31.58,left,69.46005,67.99037,118.86718,-30.24799,82.85755,144.10476,24.02477,110.48099,-0.22872,76.06489,28.57524,-28.57524,0.00382,-31.62336,-121.79735,-131.70984,-9.91248,0.93321,0.90079,0.49449,0.85057,0.70484,0.10006,-0.47475,0.1583,-1.41595,-0.06177,-0.08229,-0.12066,-0.02703,0.27997,0.45371,0.40485,0.1311,-0.03672,-0.2771,0.27952,0.73108,0,-96.36375,9.81642,58.54925,81.37324,40.16669,-0.84469,2.51979
60,2.0,1,0.36325,recovery,36.84,left,67.64933,67.73879,119.70834,-33.90113,74.2046,145.05391,23.25221,110.17799,-1.30794,74.94063,25.71699,-25.68784,1.14263,-29.66842,-118.49057,-127.88119,-9.39062,0.91642,0.87661,0.48199,0.87413,0.64027,0.08002,-0.51453,0.11439,-1.45131,-0.05494,-0.12161,-0.10853,-0.02523,0.28162,0.44551,0.4363,0.07925,-0.03449,-0.26022,0.2625,0.88209,0,-22.96147,-5.65245,36.68136,83.84551,48.63464,-0.09252,1.45464
61,2.03333,1,0.50108,recovery,42.11,left,67.92929,67.61354,122.2689,-34.72035,72.11007,146.55019,21.48655,111.24654,-1.06655,74.5367,22.99156,-22.98554,0.49782,-28.38105,-115.47786,-126.18602,-10.70816,0.91321,0.87209,0.48832,0.88941,0.63431,0.09889,-0.54136,0.07461,-1.47339,-0.04432,-0.15593,-0.09156,-0.02991,0.28518,0.64819,0.62067,0.17967,-0.01493,-0.25761,0.25805,0.48784,1,-6.6638,19.63861,0.67171,76.98109,28.82397,0.13977,1.09595
62,2.06667,1,0.57016,recovery,47.37,left,67.20508,69.04803,124.6583,-31.28378,71.03419,145.09869,16.95152,115.36563,-0.49997,75.71869,20.5566,-20.55576,-0.17792,-27.74682,-115.15515,-126.88075,-11.7256,0.89356,0.84406,0.49131,0.87326,0.65842,0.14873,-0.53167,0.06906,-1.43793,-0.0375,-0.15441,-0.06722,-0.02859,0.29358,0.7651,0.74008,0.17337,0.00467,-0.28472,0.28476,1.11295,0,-5.89158,24.14512,-44.08695,80.68716,38.6498,0.18295,1.41527
63,2.1,1,0.68039,recovery,52.63,left,67.53652,69.22321,123.66268,-29.19659,74.86861,143.61105,12.22672,115.75234,-1.44585,78.96353,17.62532,-17.6064,-0.79091,-25.8044,-115.91791,-126.25575,-10.33784,0.89841,0.85095,0.50052,0.85981,0.64908,0.19002,-0.56107,0.03298,-1.41029,-0.06844,-0.16978,-0.0423,-0.03567,0.29668,0.80039,0.66547,-0.04302,-0.00272,-0.2749,0.27492,1.1198,0,78.0987,-55.81681,48.05182,96.08771,83.44538,0.62269,2.24298
64,2.13333,1,0.67888,recovery,57.89,left,72.41166,65.32691,119.20623,-32.36528,86.95649,148.30214,9.82539,113.05247,-1.57362,82.33464,14.33036,-14.14992,-2.22096,-22.1838,-115.85247,-125.10974,-9.25726,0.92991,0.89583,0.53282,0.88009,0.60383,0.15445,-0.67089,-0.08405,-1.44116,-0.10327,-0.20031,-0.02284,-0.05808,0.29058,0.76988,0.53062,-0.2675,-0.01228,-0.22648,0.22682,1.41272,0,170.90852,-145.25698,101.63616,93.34138,102.61083,1.28675,3.8924
65,2.16667,1,0.81623,recovery,63.16,left,78.93042,59.53941,116.40954,-34.1638,86.04952,150.3868,8.29041,112.51974,-1.59976,84.86351,11.68602,-11.38364,-2.60645,-18.96367,-114.61547,-124.01397,-9.39849,0.95025,0.92559,0.5863,0.90556,0.58078,0.10204,-0.79555,-0.21984,-1.47451,-0.11755,-0.22595,-0.00689,-0.06835,0.27875,0.63292,0.45558,-0.43753,0.00291,-0.20616,0.20618,0.82557,0,185.71107,-188.60675,0.01778,70.11083,82.82613,1.63269,3.57536
66,2.2,1,0.82373,recovery,68.42,left,84.7924,52.75312,116.30397,-30.30335,79.72342,148.30333,7.33079,113.52011,-3.02171,85.15066,9.65862,-9.47586,-1.853,-16.66206,-113.42688,-122.62061,-9.19373,0.95781,0.93692,0.64167,0.9177,0.57117,0.13356,-0.90611,-0.33926,-1.48578,-0.14171,-0.2482,0.00752,-0.06079,0.26137,0.67219,0.37844,-0.52351,0.01705,-0.18814,0.18891,0.84257,0,202.83502,-212.39018,-5.46237,53.71204,70.2477,1.68397,3.69877
67,2.23333,1,0.82465,recovery,73.68,left,92.45275,45.38007,115.93314,-25.56916,79.81395,150.02264,6.17745,113.84974,-3.37781,82.50104,7.9987,-7.80284,-1.74837,-14.28049,-113.7692,-122.70238,-8.93318,0.95019,0.92547,0.69856,0.93382,0.53143,0.18171,-1.02371,-0.46121,-1.50587,-0.16958,-0.25753,0.0183,-0.05593,0.24378,0.51058,0.27332,-0.41716,0.01723,-0.14678,0.14778,0.70236,0,237.01698,-199.11512,55.76629,46.36432,67.30218,1.60144,3.66407
68,2.26667,1,0.71861,recovery,78.95,left,100.59353,39.47878,115.91502,-23.29707,80.15978,152.02108,4.01333,113.42346,-2.15895,80.14659,6.64569,-6.38491,-1.83577,-12.17524,-114.49893,-123.63807,-9.13914,0.92804,0.8933,0.74843,0.94853,0.48413,0.18585,-1.12844,-0.5585,-1.51797,-0.17231,-0.25271,0.02565,-0.05355,0.23343,0.32117,0.19891,-0.24854,0.01255,-0.14997,0.15049,0.66151,0,246.27655,-145.38017,13.6774,41.41041,62.51568,1.43861,3.29606
69,2.3,1,0.69585,recovery,84.21,left,108.87119,35.68806,116.02045,-22.52431,76.52286,150.93447,4.35008,112.41989,-1.38736,79.34264,5.44351,-5.04214,-2.0462,-10.11278,-114.65103,-124.16308,-9.51206,0.92235,0.88522,0.79447,0.94985,0.4405,0.16866,-1.22351,-0.61667,-1.50308,-0.1515,-0.24961,0.03142,-0.05326,0.22709,0.27521,0.12125,-0.19082,0.00262,-0.18274,0.18276,0.40857,1,267.26649,-94.49916,16.07703,40.97062,70.77211,1.43133,3.50324
70,2.33333,1,0.69836,recovery,89.47,left,118.41129,33.17884,113.72515,-22.76735,74.46772,153.09288,6.3094,110.79517,-1.39573,76.99334,4.82859,-3.65353,-3.15277,-7.4571,-116.1426,-125.5252,-9.3826,0.92318,0.886,0.84385,0.94614,0.37781,0.12188,-1.32642,-0.66394,-1.49224,-0.12885,-0.25701,0.03364,-0.06414,0.22067,0.31747,-0.03319,-0.17342,4e-05,-0.14907,0.14907,1.29529,0,304.13341,-100.53119,98.98838,30.11056,67.09567,1.37762,3.48887
71,2.36667,1,0.63785,recovery,94.74,left,129.14675,28.98598,110.73347,-21.06126,75.83984,157.53369,6.67198,109.26121,-0.90833,75.4328,5.02935,-3.03477,-4.00679,-5.63974,-118.74157,-126.74857,-8.007,0.92,0.88032,0.88631,0.95031,0.31755,0.1002,-1.40872,-0.7098,-1.50253,-0.12724,-0.2773,0.0292,-0.07084,0.21552,0.26441,-0.18748,-0.16592,0.00539,-0.08881,0.08897,0.88538,0,377.18686,-216.04255,105.71686,9.21664,37.41479,1.26358,2.9336
72,2.4,1,0.6868,reset,0.0,left,143.55708,18.776,110.41256,-13.27184,75.44852,160.14067,5.68485,108.44029,0.76626,77.79549,4.99445,-3.03909,-3.95966,-4.96278,-120.22283,-126.18322,-5.96039,0.93168,0.89693,0.92809,0.96034,0.27408,0.18287,-1.48064,-0.76384,-1.51519,-0.14061,-0.30348,0.02119,-0.05837,0.20958,0.54589,-0.21322,-0.18462,0.00129,-0.0785,0.07851,0.35599,1,437.20342,-334.00756,74.20293,5.50324,27.8934,1.43338,4.24062
73,2.43333,1,0.66449,reset,3.85,left,158.29364,6.71881,111.12352,-2.9115,74.35603,162.48056,5.84583,108.92186,2.55989,77.43086,4.64853,-2.66789,-3.80398,-3.78018,-120.7002,-125.20741,-4.50722,0.93405,0.89998,0.98187,0.96748,0.22524,0.31839,-1.56306,-0.83049,-1.51979,-0.15292,-0.31818,0.01503,-0.03963,0.20317,0.52966,-0.13893,-0.13451,-4e-05,-0.07118,0.07118,0.214,1,315.71154,-218.15447,78.67038,12.43068,35.96674,1.28823,3.98589
74,2.46667,1,0.71713,reset,7.69,left,164.60452,4.23237,110.76706,2.79196,76.82012,165.38536,6.18393,110.99143,3.88226,71.6086,4.06977,-2.21038,-3.4155,-2.565,-120.66826,-124.68296,-4.0147,0.91412,0.87223,1.01398,0.97487,0.1808,0.39605,-1.60899,-0.87595,-1.52843,-0.1736,-0.32248,0.01187,-0.02553,0.20057,0.3438,0.03201,-0.06402,0.00195,-0.05024,0.05028,0.43357,1,132.9506,-33.11439,69.71346,17.74154,19.88244,0.43014,1.26519
75,2.5,1,0.68069,reset,11.54,left,167.15702,4.51118,110.90191,3.07581,78.16347,167.12812,7.45265,113.01496,4.73879,67.67442,2.89486,-1.48512,-2.48432,-2.45468,-120.44438,-124.01591,-3.57153,0.90397,0.8577,1.01055,0.98744,0.16823,0.36017,-1.6093,-0.88252,-1.54614,-0.19583,-0.32924,0.01703,-0.01723,0.19885,0.3344,0.31808,-0.05754,-0.01037,-0.04958,0.05065,0.57636,1,76.13545,-30.55002,17.49843,39.61663,-0.0627,-0.13095,1.62093
76,2.53333,1,0.69113,reset,15.38,left,169.68022,2.1957,111.50991,1.67515,76.67703,166.55193,10.33211,112.65872,4.82152,68.4589,2.29706,0.43073,-2.25627,-2.56918,-120.83168,-123.50728,-2.6756,0.90454,0.85789,1.00525,0.99421,0.17536,0.28814,-1.60972,-0.87606,-1.556,-0.19772,-0.33415,0.033,-0.0198,0.19668,0.46579,0.41423,-0.01167,-0.00793,-0.05391,0.05449,0.11196,1,35.38357,-36.74576,-22.53619,56.01476,2.64753,-0.03838,1.01688
77,2.56667,1,0.70404,reset,19.23,left,169.51592,2.06146,111.58844,1.72954,77.77274,165.62571,11.82614,111.90124,4.76521,72.42617,4.28664,2.2492,-3.64728,-2.27818,-120.81273,-123.25824,-2.44551,0.90663,0.86102,1.00799,0.99141,0.16366,0.29278,-1.61466,-0.87704,-1.55088,-0.19187,-0.33038,0.04465,-0.03137,0.19806,0.35029,0.19756,0.03363,0.017,-0.06803,0.07012,0.47983,1,-36.74387,17.62639,-4.52029,37.83555,14.49453,0.04575,0.67083
78,2.6,1,0.69822,reset,23.08,left,167.23063,3.37079,111.87476,1.50778,79.94879,166.25057,10.94048,113.22804,4.74396,75.12312,5.49547,2.9531,-4.63047,-1.60288,-119.65496,-122.69959,-3.04463,0.92232,0.88391,1.0083,0.99061,0.13753,0.31157,-1.61441,-0.88233,-1.54627,-0.19123,-0.31811,0.04616,-0.03891,0.19895,0.11088,0.05947,-0.0168,0.03081,-0.08865,0.09385,0.7104,0,-45.18011,29.09092,25.18341,22.7484,25.81491,-0.07794,0.44268
79,2.63333,1,0.64751,reset,26.92,left,166.50392,4.00086,111.3699,0.24579,79.02779,167.3046,9.89005,113.10103,5.18984,75.70988,5.59032,3.76576,-4.12572,-0.55719,-118.9287,-121.4352,-2.5065,0.93665,0.90479,1.00279,0.99323,0.13779,0.27856,-1.61303,-0.88394,-1.54688,-0.17963,-0.30058,0.04856,-0.03751,0.19695,0.0641,0.0564,-0.01209,0.06537,-0.09743,0.11733,1.7582,0,13.37223,8.99977,39.71695,25.61285,28.45637,-0.18732,0.79808
80,2.66667,1,0.71592,reset,30.77,left,168.12211,3.97078,109.4844,0.34295,76.86969,168.89837,9.07111,109.91949,7.81544,78.42646,6.35662,4.66063,-4.31308,0.29421,-119.27076,-119.81987,-0.54911,0.91828,0.87855,0.99581,0.99532,0.14778,0.25979,-1.60751,-0.88078,-1.54058,-0.15844,-0.29023,0.04985,-0.0371,0.19808,0.08384,0.03271,0.06023,0.14707,-0.14037,0.20331,2.56412,0,48.77471,14.35842,32.95525,25.16327,25.28428,-0.18129,0.57536
81,2.7,1,0.76031,reset,34.62,left,169.75556,4.95808,109.09479,0.21069,75.78428,169.50162,8.75964,108.75228,10.16732,80.70005,7.42618,5.44331,-5.03634,1.12843,-119.46592,-118.94644,0.51948,0.88321,0.82924,0.99071,0.99714,0.14258,0.24155,-1.60411,-0.87868,-1.52891,-0.14733,-0.28616,0.05067,-0.04077,0.20089,0.17806,0.15528,0.04911,0.22932,-0.19442,0.30065,1.84344,0,20.07633,34.95552,-12.40965,32.97311,27.47145,-0.11814,0.67169
82,2.73333,1,0.76802,reset,38.46,left,169.46053,6.30115,111.1464,-0.68137,76.46774,168.07106,8.30908,110.95646,8.46593,78.8148,8.27598,6.85883,-4.60905,2.12564,-118.94279,-119.21844,-0.27564,0.87423,0.81661,0.98793,0.99369,0.16603,0.21898,-1.60596,-0.881,-1.52667,-0.13661,-0.26824,0.06013,-0.04187,0.20138,0.21854,0.19991,0.0477,0.30873,-0.16358,0.34939,2.60571,0,-19.01755,14.96389,-37.55982,30.44162,16.97437,-0.04318,1.20168
83,2.76667,1,0.77042,reset,42.31,left,168.48773,5.95568,112.79225,1.31925,80.18223,166.99763,5.91567,113.32901,5.09929,79.06153,8.89634,7.47275,-4.79985,2.26006,-118.88255,-120.17432,-1.29177,0.8869,0.83447,0.98783,0.98745,0.21506,0.27569,-1.6023,-0.88196,-1.52813,-0.1184,-0.2411,0.06397,-0.04561,0.20418,0.28449,-0.12749,0.15611,0.39757,-0.07832,0.40521,3.08522,0,-15.46306,-32.27462,7.90289,-7.18758,-3.97626,0.01165,2.25052
84,2.8,1,0.83186,reset,46.15,left,168.42966,4.1495,113.134,4.23563,85.02005,168.59792,2.79571,115.45622,3.60448,84.33633,8.83223,6.37966,-6.08268,1.86056,-119.99329,-121.00852,-1.01522,0.87686,0.82045,0.98871,0.97674,0.2335,0.35257,-1.59343,-0.8753,-1.51208,-0.11847,-0.23331,0.05161,-0.05509,0.21188,0.45551,-0.34578,0.2356,0.45533,-0.02525,0.45603,2.2273,0,-4.28892,-36.61637,50.12276,-29.11873,0.21844,-0.07921,1.61898
85,2.83333,1,0.84006,reset,50.0,left,168.2018,3.51459,113.58158,4.78075,87.88588,170.33915,3.93672,117.20905,3.47105,87.49411,8.34437,5.5315,-6.22797,2.27462,-120.73642,-121.04406,-0.30764,0.84336,0.7736,0.98255,0.96325,0.24202,0.37831,-1.58196,-0.8655,-1.4827,-0.13113,-0.24439,0.04082,-0.05748,0.21991,0.25371,-0.19615,0.16089,0.48427,-0.01298,0.48445,1.44866,0,-27.50366,1.57743,24.98234,-13.78959,18.60424,-0.1662,1.34867
86,2.86667,1,0.85676,reset,53.85,left,166.59608,4.25467,114.58605,5.77428,89.24877,170.26341,5.48997,117.54699,3.64691,87.23679,8.29347,5.46036,-6.2233,3.10084,-120.40155,-120.88101,-0.47945,0.82823,0.75328,0.97763,0.95821,0.27419,0.42847,-1.56751,-0.86068,-1.46288,-0.12829,-0.2499,0.03842,-0.05481,0.22264,0.05831,-0.05593,-0.00218,0.52043,-0.02402,0.52099,1.12117,0,-22.20033,25.88257,-0.36891,-2.09029,17.17214,-0.02111,1.96125
87,2.9,1,0.86222,reset,57.69,left,166.72178,5.24009,115.1119,8.18041,90.26162,170.31455,6.80491,117.65287,3.44369,87.14547,9.05173,5.39215,-7.24877,3.41943,-120.30323,-121.35938,-1.05615,0.83808,0.76676,0.98114,0.96142,0.30091,0.49288,-1.5593,-0.85902,-1.46055,-0.13203,-0.25243,0.03705,-0.05851,0.21983,0.11562,-0.0092,-0.07468,0.55933,-0.01778,0.55961,1.38433,0,42.16462,36.97407,13.38255,1.28794,1.94672,0.07165,1.11149
88,2.93333,1,0.8679,reset,61.54,left,169.40706,6.71961,114.3899,9.0551,89.87339,171.15558,7.58783,118.54407,2.17774,88.06624,9.07508,5.54622,-7.16048,3.23062,-120.83877,-121.66405,-0.82527,0.84977,0.78294,0.9824,0.96854,0.31066,0.49262,-1.56065,-0.85441,-1.47255,-0.15108,-0.26718,0.03781,-0.06066,0.21768,0.07294,0.01902,-0.04571,0.59167,0.04468,0.59336,1.72352,0,62.9301,44.3322,21.08781,1.30974,-9.4791,0.00656,0.58146
89,2.96667,1,0.88056,reset,65.38,left,170.91712,8.19557,113.36566,8.22531,89.04969,171.72041,8.3086,118.81509,0.93904,89.26361,8.59098,5.47947,-6.59638,2.78749,-120.9436,-121.09032,-0.14671,0.86555,0.8048,0.98158,0.97849,0.32693,0.46435,-1.56285,-0.84782,-1.49063,-0.14889,-0.28184,0.03832,-0.06209,0.21676,0.22615,-0.02584,-0.09585,0.60908,0.09548,0.61652,0.62982,0,13.71662,36.22577,-7.71239,-11.71485,-12.02773,-0.01249,1.05793
